compound,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,label
Cr0.2Ti1.8O9,44.4,96.6192,3.158,3.5,3.744,20.598,13.6438,27.6726,0.2754,3.104,4.4,8.4,9.5506,6.08,58.4,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.51
Mn0.4Sc1.6O5,43.6,93.90464,3.276,3.588,4.164,26.96,13.4728,27.312,0.3008,2.796,3.6,7.6,7.764,3.128,28.72,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.51
Mn0.2Sc1.8O9,42.8,91.90822,3.338,3.634,4.192,28.48,13.2984,26.456,0.3384,2.758,2.8,6.8,6.867,3.364,30.36,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.51
Cr0.2Ti1.8O7,44.4,96.6192,3.158,3.5,3.744,20.598,13.6438,27.6726,0.2754,3.104,4.4,8.4,9.5506,6.08,58.4,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.51
Fe0.4Zr1.6O3,74.4,168.2908,3.328,3.92,3.752,25.24,13.7756,28.3236,0.7468,2.86,5.6,9.6,13.5672,7.84,68.8,24,47.9982,1.98,1.44,4.56,42,40.854,105.351,4.38,10.32,12,18,0.004287,100,1.51
MnNbO3,66,147.8444,3.03,3.59,4.04,18.27,14.193,31.38,0.892,3.15,9,12,16.04,7.32,61.8,24,47.9982,1.98,1.44,4.56,42,40.854,105.351,4.38,10.32,12,18,0.004287,100,1.51
Fe0.4V1.6O3,47.2,103.84504,2.976,3.36,3.64,16.888,13.9548,30.7236,0.9052,3.34,7.2,11.2,12.9256,12,81.6,24,47.9982,1.98,1.44,4.56,42,40.854,105.351,4.38,10.32,12,18,0.004287,100,1.51
Co0.4Zr1.6O3,74.8,169.52528,3.304,3.904,3.744,25.08,13.7668,27.888,0.9456,2.88,6,10,13.9776,10.64,76.8,24,47.9982,1.98,1.44,4.56,42,40.854,105.351,4.38,10.32,12,18,0.004287,100,1.51
Ni0.2Pd0.8O10,42.4,96.86,1.36,1.65,1.942,8.438,8.1976,19.1378,0.6776,2.142,9.6,14.8,11.399,10.8,75.8,80,159.994,6.6,4.8,15.2,140,136.18,351.17,14.6,34.4,40,60,0.01429,100,1.52
Ni0.2Pd0.8O7,42.4,96.86,1.36,1.65,1.942,8.438,8.1976,19.1378,0.6776,2.142,9.6,14.8,11.399,10.8,75.8,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.52
Ni0.2Pd0.8O9,42.4,96.86,1.36,1.65,1.942,8.438,8.1976,19.1378,0.6776,2.142,9.6,14.8,11.399,10.8,75.8,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.52
Ni0.2Pd0.8O6,42.4,96.86,1.36,1.65,1.942,8.438,8.1976,19.1378,0.6776,2.142,9.6,14.8,11.399,10.8,75.8,48,95.9964,3.96,2.88,9.12,84,81.708,210.702,8.76,20.64,24,36,0.008574,100,1.52
Ni0.2Pd0.8O8,42.4,96.86,1.36,1.65,1.942,8.438,8.1976,19.1378,0.6776,2.142,9.6,14.8,11.399,10.8,75.8,64,127.9952,5.28,3.84,12.16,112,108.944,280.936,11.68,27.52,32,48,0.011432,100,1.52
Ni0.2Pd0.8O4,42.4,96.86,1.36,1.65,1.942,8.438,8.1976,19.1378,0.6776,2.142,9.6,14.8,11.399,10.8,75.8,32,63.9976,2.64,1.92,6.08,56,54.472,140.468,5.84,13.76,16,24,0.005716,100,1.52
Ni0.2Pd0.8O5,42.4,96.86,1.36,1.65,1.942,8.438,8.1976,19.1378,0.6776,2.142,9.6,14.8,11.399,10.8,75.8,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.52
Ni0.5Ce0.5O6,43,99.41,1.64,1.795,1.99,13.63,6.5895,14.5245,0.84,1.515,4.5,5,7.796,7.7,51,48,95.9964,3.96,2.88,9.12,84,81.708,210.702,8.76,20.64,24,36,0.008574,100,1.52
Ni0.5Ce0.5O7,43,99.41,1.64,1.795,1.99,13.63,6.5895,14.5245,0.84,1.515,4.5,5,7.796,7.7,51,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.52
Ni0.5Ce0.5O8,43,99.41,1.64,1.795,1.99,13.63,6.5895,14.5245,0.84,1.515,4.5,5,7.796,7.7,51,64,127.9952,5.28,3.84,12.16,112,108.944,280.936,11.68,27.52,32,48,0.011432,100,1.52
Ni0.5La0.5O10,42.5,98.80275,1.655,1.875,2.015,14.545,6.6085,14.6145,0.83,1.505,4.5,5,7.5245,7.8,52,80,159.994,6.6,4.8,15.2,140,136.18,351.17,14.6,34.4,40,60,0.01429,100,1.52
