,compound
7621,Co0.6Ru2.4O7
7622,Co1.5Ru1.5O7
7623,Co0.3Ru2.7O8
7624,Co0.6Ru2.4O8
7625,Co1.5Ru1.5O8
7626,Co0.3Ru2.7O10
7627,Co0.6Ru2.4O10
7628,Co1.5Ru1.5O10
7629,Co0.4Ru3.6O5
7630,Co0.8Ru3.2O5
7631,Co2.0Ru2.0O5
7632,Co0.4Ru3.6O7
7633,Co0.8Ru3.2O7
7634,Co2.0Ru2.0O7
7635,Co0.4Ru3.6O9
7636,Co0.8Ru3.2O9
7637,Co2.0Ru2.0O9
7638,Co0.5Ru4.5O6
7639,CoRu4.0O6
7640,Co2.5Ru2.5O6
7641,Co0.5Ru4.5O7
7642,CoRu4.0O7
7643,Co2.5Ru2.5O7
7644,Co0.5Ru4.5O8
7645,CoRu4.0O8
7646,Co2.5Ru2.5O8
7647,Co0.5Ru4.5O9
7648,CoRu4.0O9
7649,Co2.5Ru2.5O9
7650,Co0.6Ru5.4O7
7651,Co1.2Ru4.8O7
7652,Co3.0Ru3.0O7
7653,Co0.7Ru6.3O8
7654,Co1.4Ru5.6O8
7655,Co3.5Ru3.5O8
7656,Co0.7Ru6.3O9
7657,Co1.4Ru5.6O9
7658,Co3.5Ru3.5O9
7659,Co0.7Ru6.3O10
7660,Co1.4Ru5.6O10
7661,Co3.5Ru3.5O10
7662,Co0.8Ru7.2O9
7663,Co1.6Ru6.4O9
7664,Co4.0Ru4.0O9
7665,Co0.9Ru8.1O10
7666,Co1.8Ru7.2O10
7667,Co4.5Ru4.5O10
7668,Ni0.1Ru0.9O
7669,Ni0.2Ru0.8O
7670,Ni0.5Ru0.5O
7671,Ni0.1Ru0.9O2
7672,Ni0.2Ru0.8O2
7673,Ni0.5Ru0.5O2
7674,Ni0.1Ru0.9O3
7675,Ni0.2Ru0.8O3
7676,Ni0.5Ru0.5O3
7677,Ni0.1Ru0.9O4
7678,Ni0.2Ru0.8O4
7679,Ni0.5Ru0.5O4
7680,Ni0.1Ru0.9O5
7681,Ni0.2Ru0.8O5
7682,Ni0.5Ru0.5O5
7683,Ni0.1Ru0.9O6
7684,Ni0.2Ru0.8O6
7685,Ni0.5Ru0.5O6
7686,Ni0.1Ru0.9O7
7687,Ni0.2Ru0.8O7
7688,Ni0.5Ru0.5O7
7689,Ni0.1Ru0.9O8
7690,Ni0.2Ru0.8O8
7691,Ni0.5Ru0.5O8
7692,Ni0.1Ru0.9O9
7693,Ni0.2Ru0.8O9
7694,Ni0.5Ru0.5O9
7695,Ni0.1Ru0.9O10
7696,Ni0.2Ru0.8O10
7697,Ni0.5Ru0.5O10
7698,Ni0.2Ru1.8O3
7699,Ni0.4Ru1.6O3
7700,NiRuO3
7701,Ni0.2Ru1.8O5
7702,Ni0.4Ru1.6O5
7703,NiRuO5
7704,Ni0.2Ru1.8O7
7705,Ni0.4Ru1.6O7
7706,NiRuO7
7707,Ni0.2Ru1.8O9
7708,Ni0.4Ru1.6O9
7709,NiRuO9
7710,Ni0.3Ru2.7O4
7711,Ni0.6Ru2.4O4
7712,Ni1.5Ru1.5O4
7713,Ni0.3Ru2.7O5
7714,Ni0.6Ru2.4O5
7715,Ni1.5Ru1.5O5
7716,Ni0.3Ru2.7O7
7717,Ni0.6Ru2.4O7
7718,Ni1.5Ru1.5O7
7719,Ni0.3Ru2.7O8
7720,Ni0.6Ru2.4O8
7721,Ni1.5Ru1.5O8
7722,Ni0.3Ru2.7O10
7723,Ni0.6Ru2.4O10
7724,Ni1.5Ru1.5O10
7725,Ni0.4Ru3.6O5
7726,Ni0.8Ru3.2O5
7727,Ni2.0Ru2.0O5
7728,Ni0.4Ru3.6O7
7729,Ni0.8Ru3.2O7
7730,Ni2.0Ru2.0O7
7731,Ni0.4Ru3.6O9
7732,Ni0.8Ru3.2O9
7733,Ni2.0Ru2.0O9
7734,Ni0.5Ru4.5O6
7735,NiRu4.0O6
7736,Ni2.5Ru2.5O6
7737,Ni0.5Ru4.5O7
7738,NiRu4.0O7
7739,Ni2.5Ru2.5O7
7740,Ni0.5Ru4.5O8
7741,NiRu4.0O8
7742,Ni2.5Ru2.5O8
7743,Ni0.5Ru4.5O9
7744,NiRu4.0O9
7745,Ni2.5Ru2.5O9
7746,Ni0.6Ru5.4O7
7747,Ni1.2Ru4.8O7
7748,Ni3.0Ru3.0O7
7749,Ni0.7Ru6.3O8
7750,Ni1.4Ru5.6O8
7751,Ni3.5Ru3.5O8
7752,Ni0.7Ru6.3O9
7753,Ni1.4Ru5.6O9
7754,Ni3.5Ru3.5O9
7755,Ni0.7Ru6.3O10
7756,Ni1.4Ru5.6O10
7757,Ni3.5Ru3.5O10
7758,Ni0.8Ru7.2O9
7759,Ni1.6Ru6.4O9
7760,Ni4.0Ru4.0O9
7761,Ni0.9Ru8.1O10
7762,Ni1.8Ru7.2O10
7763,Ni4.5Ru4.5O10
7764,Cr0.1Rh0.9O
7765,Cr0.2Rh0.8O
7766,Cr0.5Rh0.5O
7767,Cr0.1Rh0.9O2
7768,Cr0.2Rh0.8O2
7769,Cr0.5Rh0.5O2
7770,Cr0.1Rh0.9O3
7771,Cr0.2Rh0.8O3
7772,Cr0.5Rh0.5O3
7773,Cr0.1Rh0.9O4
7774,Cr0.2Rh0.8O4
7775,Cr0.5Rh0.5O4
7776,Cr0.1Rh0.9O5
7777,Cr0.2Rh0.8O5
7778,Cr0.5Rh0.5O5
7779,Cr0.1Rh0.9O6
7780,Cr0.2Rh0.8O6
7781,Cr0.5Rh0.5O6
7782,Cr0.1Rh0.9O7
7783,Cr0.2Rh0.8O7
7784,Cr0.5Rh0.5O7
7785,Cr0.1Rh0.9O8
7786,Cr0.2Rh0.8O8
7787,Cr0.5Rh0.5O8
7788,Cr0.1Rh0.9O9
7789,Cr0.2Rh0.8O9
7790,Cr0.5Rh0.5O9
7791,Cr0.1Rh0.9O10
7792,Cr0.2Rh0.8O10
7793,Cr0.5Rh0.5O10
7794,Cr0.2Rh1.8O3
7795,Cr0.4Rh1.6O3
7796,CrRhO3
7797,Cr0.2Rh1.8O5
7798,Cr0.4Rh1.6O5
7799,CrRhO5
7800,Cr0.2Rh1.8O7
7801,Cr0.4Rh1.6O7
7802,CrRhO7
7803,Cr0.2Rh1.8O9
7804,Cr0.4Rh1.6O9
7805,CrRhO9
7806,Cr0.3Rh2.7O4
7807,Cr0.6Rh2.4O4
7808,Cr1.5Rh1.5O4
7809,Cr0.3Rh2.7O5
7810,Cr0.6Rh2.4O5
7811,Cr1.5Rh1.5O5
7812,Cr0.3Rh2.7O7
7813,Cr0.6Rh2.4O7
7814,Cr1.5Rh1.5O7
7815,Cr0.3Rh2.7O8
7816,Cr0.6Rh2.4O8
7817,Cr1.5Rh1.5O8
7818,Cr0.3Rh2.7O10
7819,Cr0.6Rh2.4O10
7820,Cr1.5Rh1.5O10
7821,Cr0.4Rh3.6O5
7822,Cr0.8Rh3.2O5
7823,Cr2.0Rh2.0O5
7824,Cr0.4Rh3.6O7
7825,Cr0.8Rh3.2O7
7826,Cr2.0Rh2.0O7
7827,Cr0.4Rh3.6O9
7828,Cr0.8Rh3.2O9
7829,Cr2.0Rh2.0O9
7830,Cr0.5Rh4.5O6
7831,CrRh4.0O6
7832,Cr2.5Rh2.5O6
7833,Cr0.5Rh4.5O7
7834,CrRh4.0O7
7835,Cr2.5Rh2.5O7
7836,Cr0.5Rh4.5O8
7837,CrRh4.0O8
7838,Cr2.5Rh2.5O8
7839,Cr0.5Rh4.5O9
7840,CrRh4.0O9
7841,Cr2.5Rh2.5O9
7842,Cr0.6Rh5.4O7
7843,Cr1.2Rh4.8O7
7844,Cr3.0Rh3.0O7
7845,Cr0.7Rh6.3O8
7846,Cr1.4Rh5.6O8
7847,Cr3.5Rh3.5O8
7848,Cr0.7Rh6.3O9
7849,Cr1.4Rh5.6O9
7850,Cr3.5Rh3.5O9
7851,Cr0.7Rh6.3O10
7852,Cr1.4Rh5.6O10
7853,Cr3.5Rh3.5O10
7854,Cr0.8Rh7.2O9
7855,Cr1.6Rh6.4O9
7856,Cr4.0Rh4.0O9
7857,Cr0.9Rh8.1O10
7858,Cr1.8Rh7.2O10
7859,Cr4.5Rh4.5O10
7860,Mn0.1Rh0.9O
7861,Mn0.2Rh0.8O
7862,Mn0.5Rh0.5O
7863,Mn0.1Rh0.9O2
7864,Mn0.2Rh0.8O2
7865,Mn0.5Rh0.5O2
7866,Mn0.1Rh0.9O3
7867,Mn0.2Rh0.8O3
7868,Mn0.5Rh0.5O3
7869,Mn0.1Rh0.9O4
7870,Mn0.2Rh0.8O4
7871,Mn0.5Rh0.5O4
7872,Mn0.1Rh0.9O5
7873,Mn0.2Rh0.8O5
7874,Mn0.5Rh0.5O5
7875,Mn0.1Rh0.9O6
7876,Mn0.2Rh0.8O6
7877,Mn0.5Rh0.5O6
7878,Mn0.1Rh0.9O7
7879,Mn0.2Rh0.8O7
7880,Mn0.5Rh0.5O7
7881,Mn0.1Rh0.9O8
7882,Mn0.2Rh0.8O8
7883,Mn0.5Rh0.5O8
7884,Mn0.1Rh0.9O9
7885,Mn0.2Rh0.8O9
7886,Mn0.5Rh0.5O9
7887,Mn0.1Rh0.9O10
7888,Mn0.2Rh0.8O10
7889,Mn0.5Rh0.5O10
7890,Mn0.2Rh1.8O3
7891,Mn0.4Rh1.6O3
7892,MnRhO3
7893,Mn0.2Rh1.8O5
7894,Mn0.4Rh1.6O5
7895,MnRhO5
7896,Mn0.2Rh1.8O7
7897,Mn0.4Rh1.6O7
7898,MnRhO7
7899,Mn0.2Rh1.8O9
7900,Mn0.4Rh1.6O9
7901,MnRhO9
7902,Mn0.3Rh2.7O4
7903,Mn0.6Rh2.4O4
7904,Mn1.5Rh1.5O4
7905,Mn0.3Rh2.7O5
7906,Mn0.6Rh2.4O5
7907,Mn1.5Rh1.5O5
7908,Mn0.3Rh2.7O7
7909,Mn0.6Rh2.4O7
7910,Mn1.5Rh1.5O7
7911,Mn0.3Rh2.7O8
7912,Mn0.6Rh2.4O8
7913,Mn1.5Rh1.5O8
7914,Mn0.3Rh2.7O10
7915,Mn0.6Rh2.4O10
7916,Mn1.5Rh1.5O10
7917,Mn0.4Rh3.6O5
7918,Mn0.8Rh3.2O5
7919,Mn2.0Rh2.0O5
7920,Mn0.4Rh3.6O7
7921,Mn0.8Rh3.2O7
7922,Mn2.0Rh2.0O7
7923,Mn0.4Rh3.6O9
7924,Mn0.8Rh3.2O9
7925,Mn2.0Rh2.0O9
7926,Mn0.5Rh4.5O6
7927,MnRh4.0O6
7928,Mn2.5Rh2.5O6
7929,Mn0.5Rh4.5O7
7930,MnRh4.0O7
7931,Mn2.5Rh2.5O7
7932,Mn0.5Rh4.5O8
7933,MnRh4.0O8
7934,Mn2.5Rh2.5O8
7935,Mn0.5Rh4.5O9
7936,MnRh4.0O9
7937,Mn2.5Rh2.5O9
7938,Mn0.6Rh5.4O7
7939,Mn1.2Rh4.8O7
7940,Mn3.0Rh3.0O7
7941,Mn0.7Rh6.3O8
7942,Mn1.4Rh5.6O8
7943,Mn3.5Rh3.5O8
7944,Mn0.7Rh6.3O9
7945,Mn1.4Rh5.6O9
7946,Mn3.5Rh3.5O9
7947,Mn0.7Rh6.3O10
7948,Mn1.4Rh5.6O10
7949,Mn3.5Rh3.5O10
7950,Mn0.8Rh7.2O9
7951,Mn1.6Rh6.4O9
7952,Mn4.0Rh4.0O9
7953,Mn0.9Rh8.1O10
7954,Mn1.8Rh7.2O10
7955,Mn4.5Rh4.5O10
7956,Fe0.1Rh0.9O
7957,Fe0.2Rh0.8O
7958,Fe0.5Rh0.5O
7959,Fe0.1Rh0.9O2
7960,Fe0.2Rh0.8O2
7961,Fe0.5Rh0.5O2
7962,Fe0.1Rh0.9O3
7963,Fe0.2Rh0.8O3
7964,Fe0.5Rh0.5O3
7965,Fe0.1Rh0.9O4
7966,Fe0.2Rh0.8O4
7967,Fe0.5Rh0.5O4
7968,Fe0.1Rh0.9O5
7969,Fe0.2Rh0.8O5
7970,Fe0.5Rh0.5O5
7971,Fe0.1Rh0.9O6
7972,Fe0.2Rh0.8O6
7973,Fe0.5Rh0.5O6
7974,Fe0.1Rh0.9O7
7975,Fe0.2Rh0.8O7
7976,Fe0.5Rh0.5O7
7977,Fe0.1Rh0.9O8
7978,Fe0.2Rh0.8O8
7979,Fe0.5Rh0.5O8
7980,Fe0.1Rh0.9O9
7981,Fe0.2Rh0.8O9
7982,Fe0.5Rh0.5O9
7983,Fe0.1Rh0.9O10
7984,Fe0.2Rh0.8O10
7985,Fe0.5Rh0.5O10
7986,Fe0.2Rh1.8O3
7987,Fe0.4Rh1.6O3
7988,FeRhO3
7989,Fe0.2Rh1.8O5
7990,Fe0.4Rh1.6O5
7991,FeRhO5
7992,Fe0.2Rh1.8O7
7993,Fe0.4Rh1.6O7
7994,FeRhO7
7995,Fe0.2Rh1.8O9
7996,Fe0.4Rh1.6O9
7997,FeRhO9
7998,Fe0.3Rh2.7O4
7999,Fe0.6Rh2.4O4
8000,Fe1.5Rh1.5O4
8001,Fe0.3Rh2.7O5
8002,Fe0.6Rh2.4O5
8003,Fe1.5Rh1.5O5
8004,Fe0.3Rh2.7O7
8005,Fe0.6Rh2.4O7
8006,Fe1.5Rh1.5O7
8007,Fe0.3Rh2.7O8
8008,Fe0.6Rh2.4O8
8009,Fe1.5Rh1.5O8
8010,Fe0.3Rh2.7O10
8011,Fe0.6Rh2.4O10
8012,Fe1.5Rh1.5O10
8013,Fe0.4Rh3.6O5
8014,Fe0.8Rh3.2O5
8015,Fe2.0Rh2.0O5
8016,Fe0.4Rh3.6O7
8017,Fe0.8Rh3.2O7
8018,Fe2.0Rh2.0O7
8019,Fe0.4Rh3.6O9
8020,Fe0.8Rh3.2O9
8021,Fe2.0Rh2.0O9
8022,Fe0.5Rh4.5O6
8023,FeRh4.0O6
8024,Fe2.5Rh2.5O6
8025,Fe0.5Rh4.5O7
8026,FeRh4.0O7
8027,Fe2.5Rh2.5O7
8028,Fe0.5Rh4.5O8
8029,FeRh4.0O8
8030,Fe2.5Rh2.5O8
8031,Fe0.5Rh4.5O9
8032,FeRh4.0O9
8033,Fe2.5Rh2.5O9
8034,Fe0.6Rh5.4O7
8035,Fe1.2Rh4.8O7
8036,Fe3.0Rh3.0O7
8037,Fe0.7Rh6.3O8
8038,Fe1.4Rh5.6O8
8039,Fe3.5Rh3.5O8
8040,Fe0.7Rh6.3O9
8041,Fe1.4Rh5.6O9
8042,Fe3.5Rh3.5O9
8043,Fe0.7Rh6.3O10
8044,Fe1.4Rh5.6O10
8045,Fe3.5Rh3.5O10
8046,Fe0.8Rh7.2O9
8047,Fe1.6Rh6.4O9
8048,Fe4.0Rh4.0O9
8049,Fe0.9Rh8.1O10
8050,Fe1.8Rh7.2O10
8051,Fe4.5Rh4.5O10
8052,Co0.1Rh0.9O
8053,Co0.2Rh0.8O
8054,Co0.5Rh0.5O
8055,Co0.1Rh0.9O2
8056,Co0.2Rh0.8O2
8057,Co0.5Rh0.5O2
8058,Co0.1Rh0.9O3
8059,Co0.2Rh0.8O3
8060,Co0.5Rh0.5O3
8061,Co0.1Rh0.9O4
8062,Co0.2Rh0.8O4
8063,Co0.5Rh0.5O4
8064,Co0.1Rh0.9O5
8065,Co0.2Rh0.8O5
8066,Co0.5Rh0.5O5
8067,Co0.1Rh0.9O6
8068,Co0.2Rh0.8O6
8069,Co0.5Rh0.5O6
8070,Co0.1Rh0.9O7
8071,Co0.2Rh0.8O7
8072,Co0.5Rh0.5O7
8073,Co0.1Rh0.9O8
8074,Co0.2Rh0.8O8
8075,Co0.5Rh0.5O8
8076,Co0.1Rh0.9O9
8077,Co0.2Rh0.8O9
8078,Co0.5Rh0.5O9
8079,Co0.1Rh0.9O10
8080,Co0.2Rh0.8O10
8081,Co0.5Rh0.5O10
8082,Co0.2Rh1.8O3
8083,Co0.4Rh1.6O3
8084,CoRhO3
8085,Co0.2Rh1.8O5
8086,Co0.4Rh1.6O5
8087,CoRhO5
8088,Co0.2Rh1.8O7
8089,Co0.4Rh1.6O7
8090,CoRhO7
8091,Co0.2Rh1.8O9
8092,Co0.4Rh1.6O9
8093,CoRhO9
8094,Co0.3Rh2.7O4
8095,Co0.6Rh2.4O4
8096,Co1.5Rh1.5O4
8097,Co0.3Rh2.7O5
8098,Co0.6Rh2.4O5
8099,Co1.5Rh1.5O5
8100,Co0.3Rh2.7O7
8101,Co0.6Rh2.4O7
8102,Co1.5Rh1.5O7
8103,Co0.3Rh2.7O8
8104,Co0.6Rh2.4O8
8105,Co1.5Rh1.5O8
8106,Co0.3Rh2.7O10
8107,Co0.6Rh2.4O10
8108,Co1.5Rh1.5O10
8109,Co0.4Rh3.6O5
8110,Co0.8Rh3.2O5
8111,Co2.0Rh2.0O5
8112,Co0.4Rh3.6O7
8113,Co0.8Rh3.2O7
8114,Co2.0Rh2.0O7
8115,Co0.4Rh3.6O9
8116,Co0.8Rh3.2O9
8117,Co2.0Rh2.0O9
8118,Co0.5Rh4.5O6
8119,CoRh4.0O6
8120,Co2.5Rh2.5O6
8121,Co0.5Rh4.5O7
8122,CoRh4.0O7
8123,Co2.5Rh2.5O7
8124,Co0.5Rh4.5O8
8125,CoRh4.0O8
8126,Co2.5Rh2.5O8
8127,Co0.5Rh4.5O9
8128,CoRh4.0O9
8129,Co2.5Rh2.5O9
8130,Co0.6Rh5.4O7
8131,Co1.2Rh4.8O7
8132,Co3.0Rh3.0O7
8133,Co0.7Rh6.3O8
8134,Co1.4Rh5.6O8
8135,Co3.5Rh3.5O8
8136,Co0.7Rh6.3O9
8137,Co1.4Rh5.6O9
8138,Co3.5Rh3.5O9
8139,Co0.7Rh6.3O10
8140,Co1.4Rh5.6O10
8141,Co3.5Rh3.5O10
8142,Co0.8Rh7.2O9
8143,Co1.6Rh6.4O9
8144,Co4.0Rh4.0O9
8145,Co0.9Rh8.1O10
8146,Co1.8Rh7.2O10
8147,Co4.5Rh4.5O10
8148,Ni0.1Rh0.9O
8149,Ni0.2Rh0.8O
8150,Ni0.5Rh0.5O
8151,Ni0.1Rh0.9O2
8152,Ni0.2Rh0.8O2
8153,Ni0.5Rh0.5O2
8154,Ni0.1Rh0.9O3
8155,Ni0.2Rh0.8O3
8156,Ni0.5Rh0.5O3
8157,Ni0.1Rh0.9O4
8158,Ni0.2Rh0.8O4
8159,Ni0.5Rh0.5O4
8160,Ni0.1Rh0.9O5
8161,Ni0.2Rh0.8O5
8162,Ni0.5Rh0.5O5
8163,Ni0.1Rh0.9O6
8164,Ni0.2Rh0.8O6
8165,Ni0.5Rh0.5O6
8166,Ni0.1Rh0.9O7
8167,Ni0.2Rh0.8O7
8168,Ni0.5Rh0.5O7
8169,Ni0.1Rh0.9O8
8170,Ni0.2Rh0.8O8
8171,Ni0.5Rh0.5O8
8172,Ni0.1Rh0.9O9
8173,Ni0.2Rh0.8O9
8174,Ni0.5Rh0.5O9
8175,Ni0.1Rh0.9O10
8176,Ni0.2Rh0.8O10
8177,Ni0.5Rh0.5O10
8178,Ni0.2Rh1.8O3
8179,Ni0.4Rh1.6O3
8180,NiRhO3
8181,Ni0.2Rh1.8O5
8182,Ni0.4Rh1.6O5
8183,NiRhO5
8184,Ni0.2Rh1.8O7
8185,Ni0.4Rh1.6O7
8186,NiRhO7
8187,Ni0.2Rh1.8O9
8188,Ni0.4Rh1.6O9
8189,NiRhO9
8190,Ni0.3Rh2.7O4
8191,Ni0.6Rh2.4O4
8192,Ni1.5Rh1.5O4
8193,Ni0.3Rh2.7O5
8194,Ni0.6Rh2.4O5
8195,Ni1.5Rh1.5O5
8196,Ni0.3Rh2.7O7
8197,Ni0.6Rh2.4O7
8198,Ni1.5Rh1.5O7
8199,Ni0.3Rh2.7O8
8200,Ni0.6Rh2.4O8
8201,Ni1.5Rh1.5O8
8202,Ni0.3Rh2.7O10
8203,Ni0.6Rh2.4O10
8204,Ni1.5Rh1.5O10
8205,Ni0.4Rh3.6O5
8206,Ni0.8Rh3.2O5
8207,Ni2.0Rh2.0O5
8208,Ni0.4Rh3.6O7
8209,Ni0.8Rh3.2O7
8210,Ni2.0Rh2.0O7
8211,Ni0.4Rh3.6O9
8212,Ni0.8Rh3.2O9
8213,Ni2.0Rh2.0O9
8214,Ni0.5Rh4.5O6
8215,NiRh4.0O6
8216,Ni2.5Rh2.5O6
8217,Ni0.5Rh4.5O7
8218,NiRh4.0O7
8219,Ni2.5Rh2.5O7
8220,Ni0.5Rh4.5O8
8221,NiRh4.0O8
8222,Ni2.5Rh2.5O8
8223,Ni0.5Rh4.5O9
8224,NiRh4.0O9
8225,Ni2.5Rh2.5O9
8226,Ni0.6Rh5.4O7
8227,Ni1.2Rh4.8O7
8228,Ni3.0Rh3.0O7
8229,Ni0.7Rh6.3O8
8230,Ni1.4Rh5.6O8
8231,Ni3.5Rh3.5O8
8232,Ni0.7Rh6.3O9
8233,Ni1.4Rh5.6O9
8234,Ni3.5Rh3.5O9
8235,Ni0.7Rh6.3O10
8236,Ni1.4Rh5.6O10
8237,Ni3.5Rh3.5O10
8238,Ni0.8Rh7.2O9
8239,Ni1.6Rh6.4O9
8240,Ni4.0Rh4.0O9
8241,Ni0.9Rh8.1O10
8242,Ni1.8Rh7.2O10
8243,Ni4.5Rh4.5O10
8244,Cr0.1Pd0.9O
8245,Cr0.2Pd0.8O
8246,Cr0.5Pd0.5O
8247,Cr0.1Pd0.9O2
8248,Cr0.2Pd0.8O2
8249,Cr0.5Pd0.5O2
8250,Cr0.1Pd0.9O3
8251,Cr0.2Pd0.8O3
8252,Cr0.5Pd0.5O3
8253,Cr0.1Pd0.9O4
8254,Cr0.2Pd0.8O4
8255,Cr0.5Pd0.5O4
8256,Cr0.1Pd0.9O5
8257,Cr0.2Pd0.8O5
8258,Cr0.5Pd0.5O5
8259,Cr0.1Pd0.9O6
8260,Cr0.2Pd0.8O6
8261,Cr0.5Pd0.5O6
8262,Cr0.1Pd0.9O7
8263,Cr0.2Pd0.8O7
8264,Cr0.5Pd0.5O7
8265,Cr0.1Pd0.9O8
8266,Cr0.2Pd0.8O8
8267,Cr0.5Pd0.5O8
8268,Cr0.1Pd0.9O9
8269,Cr0.2Pd0.8O9
8270,Cr0.5Pd0.5O9
8271,Cr0.1Pd0.9O10
8272,Cr0.2Pd0.8O10
8273,Cr0.5Pd0.5O10
8274,Cr0.2Pd1.8O3
8275,Cr0.4Pd1.6O3
8276,CrPdO3
8277,Cr0.2Pd1.8O5
8278,Cr0.4Pd1.6O5
8279,CrPdO5
8280,Cr0.2Pd1.8O7
8281,Cr0.4Pd1.6O7
8282,CrPdO7
8283,Cr0.2Pd1.8O9
8284,Cr0.4Pd1.6O9
8285,CrPdO9
8286,Cr0.3Pd2.7O4
8287,Cr0.6Pd2.4O4
8288,Cr1.5Pd1.5O4
8289,Cr0.3Pd2.7O5
8290,Cr0.6Pd2.4O5
8291,Cr1.5Pd1.5O5
8292,Cr0.3Pd2.7O7
8293,Cr0.6Pd2.4O7
8294,Cr1.5Pd1.5O7
8295,Cr0.3Pd2.7O8
8296,Cr0.6Pd2.4O8
8297,Cr1.5Pd1.5O8
8298,Cr0.3Pd2.7O10
8299,Cr0.6Pd2.4O10
8300,Cr1.5Pd1.5O10
8301,Cr0.4Pd3.6O5
8302,Cr0.8Pd3.2O5
8303,Cr2.0Pd2.0O5
8304,Cr0.4Pd3.6O7
8305,Cr0.8Pd3.2O7
8306,Cr2.0Pd2.0O7
8307,Cr0.4Pd3.6O9
8308,Cr0.8Pd3.2O9
8309,Cr2.0Pd2.0O9
8310,Cr0.5Pd4.5O6
8311,CrPd4.0O6
8312,Cr2.5Pd2.5O6
8313,Cr0.5Pd4.5O7
8314,CrPd4.0O7
8315,Cr2.5Pd2.5O7
8316,Cr0.5Pd4.5O8
8317,CrPd4.0O8
8318,Cr2.5Pd2.5O8
8319,Cr0.5Pd4.5O9
8320,CrPd4.0O9
8321,Cr2.5Pd2.5O9
8322,Cr0.6Pd5.4O7
8323,Cr1.2Pd4.8O7
8324,Cr3.0Pd3.0O7
8325,Cr0.7Pd6.3O8
8326,Cr1.4Pd5.6O8
8327,Cr3.5Pd3.5O8
8328,Cr0.7Pd6.3O9
8329,Cr1.4Pd5.6O9
8330,Cr3.5Pd3.5O9
8331,Cr0.7Pd6.3O10
8332,Cr1.4Pd5.6O10
8333,Cr3.5Pd3.5O10
8334,Cr0.8Pd7.2O9
8335,Cr1.6Pd6.4O9
8336,Cr4.0Pd4.0O9
8337,Cr0.9Pd8.1O10
8338,Cr1.8Pd7.2O10
8339,Cr4.5Pd4.5O10
8340,Mn0.1Pd0.9O
8341,Mn0.2Pd0.8O
8342,Mn0.5Pd0.5O
8343,Mn0.1Pd0.9O2
8344,Mn0.2Pd0.8O2
8345,Mn0.5Pd0.5O2
8346,Mn0.1Pd0.9O3
8347,Mn0.2Pd0.8O3
8348,Mn0.5Pd0.5O3
8349,Mn0.1Pd0.9O4
8350,Mn0.2Pd0.8O4
8351,Mn0.5Pd0.5O4
8352,Mn0.1Pd0.9O5
8353,Mn0.2Pd0.8O5
8354,Mn0.5Pd0.5O5
8355,Mn0.1Pd0.9O6
8356,Mn0.2Pd0.8O6
8357,Mn0.5Pd0.5O6
8358,Mn0.1Pd0.9O7
8359,Mn0.2Pd0.8O7
8360,Mn0.5Pd0.5O7
8361,Mn0.1Pd0.9O8
8362,Mn0.2Pd0.8O8
8363,Mn0.5Pd0.5O8
8364,Mn0.1Pd0.9O9
8365,Mn0.2Pd0.8O9
8366,Mn0.5Pd0.5O9
8367,Mn0.1Pd0.9O10
8368,Mn0.2Pd0.8O10
8369,Mn0.5Pd0.5O10
8370,Mn0.2Pd1.8O3
8371,Mn0.4Pd1.6O3
8372,MnPdO3
8373,Mn0.2Pd1.8O5
8374,Mn0.4Pd1.6O5
8375,MnPdO5
8376,Mn0.2Pd1.8O7
8377,Mn0.4Pd1.6O7
8378,MnPdO7
8379,Mn0.2Pd1.8O9
8380,Mn0.4Pd1.6O9
8381,MnPdO9
8382,Mn0.3Pd2.7O4
8383,Mn0.6Pd2.4O4
8384,Mn1.5Pd1.5O4
8385,Mn0.3Pd2.7O5
8386,Mn0.6Pd2.4O5
8387,Mn1.5Pd1.5O5
8388,Mn0.3Pd2.7O7
8389,Mn0.6Pd2.4O7
8390,Mn1.5Pd1.5O7
8391,Mn0.3Pd2.7O8
8392,Mn0.6Pd2.4O8
8393,Mn1.5Pd1.5O8
8394,Mn0.3Pd2.7O10
8395,Mn0.6Pd2.4O10
8396,Mn1.5Pd1.5O10
8397,Mn0.4Pd3.6O5
8398,Mn0.8Pd3.2O5
8399,Mn2.0Pd2.0O5
8400,Mn0.4Pd3.6O7
8401,Mn0.8Pd3.2O7
8402,Mn2.0Pd2.0O7
8403,Mn0.4Pd3.6O9
8404,Mn0.8Pd3.2O9
8405,Mn2.0Pd2.0O9
8406,Mn0.5Pd4.5O6
8407,MnPd4.0O6
8408,Mn2.5Pd2.5O6
8409,Mn0.5Pd4.5O7
8410,MnPd4.0O7
8411,Mn2.5Pd2.5O7
8412,Mn0.5Pd4.5O8
8413,MnPd4.0O8
8414,Mn2.5Pd2.5O8
8415,Mn0.5Pd4.5O9
8416,MnPd4.0O9
8417,Mn2.5Pd2.5O9
8418,Mn0.6Pd5.4O7
8419,Mn1.2Pd4.8O7
8420,Mn3.0Pd3.0O7
8421,Mn0.7Pd6.3O8
8422,Mn1.4Pd5.6O8
8423,Mn3.5Pd3.5O8
8424,Mn0.7Pd6.3O9
8425,Mn1.4Pd5.6O9
8426,Mn3.5Pd3.5O9
8427,Mn0.7Pd6.3O10
8428,Mn1.4Pd5.6O10
8429,Mn3.5Pd3.5O10
8430,Mn0.8Pd7.2O9
