,compound
541,Pd7O10
542,Pd8O9
543,Pd9O10
544,AgO
545,AgO2
546,AgO3
547,AgO4
548,AgO5
549,AgO6
550,AgO7
551,AgO8
552,AgO9
553,AgO10
554,Ag2O3
555,Ag2O5
556,Ag2O7
557,Ag2O9
558,Ag3O4
559,Ag3O5
560,Ag3O7
561,Ag3O8
562,Ag3O10
563,Ag4O5
564,Ag4O7
565,Ag4O9
566,Ag5O6
567,Ag5O7
568,Ag5O8
569,Ag5O9
570,Ag6O7
571,Ag7O8
572,Ag7O9
573,Ag7O10
574,Ag8O9
575,Ag9O10
576,CdO
577,CdO2
578,CdO3
579,CdO4
580,CdO5
581,CdO6
582,CdO7
583,CdO8
584,CdO9
585,CdO10
586,Cd2O3
587,Cd2O5
588,Cd2O7
589,Cd2O9
590,Cd3O4
591,Cd3O5
592,Cd3O7
593,Cd3O8
594,Cd3O10
595,Cd4O5
596,Cd4O7
597,Cd4O9
598,Cd5O6
599,Cd5O7
600,Cd5O8
601,Cd5O9
602,Cd6O7
603,Cd7O8
604,Cd7O9
605,Cd7O10
606,Cd8O9
607,Cd9O10
608,HfO
609,HfO2
610,HfO3
611,HfO4
612,HfO5
613,HfO6
614,HfO7
615,HfO8
616,HfO9
617,HfO10
618,Hf2O3
619,Hf2O5
620,Hf2O7
621,Hf2O9
622,Hf3O4
623,Hf3O5
624,Hf3O7
625,Hf3O8
626,Hf3O10
627,Hf4O5
628,Hf4O7
629,Hf4O9
630,Hf5O6
631,Hf5O7
632,Hf5O8
633,Hf5O9
634,Hf6O7
635,Hf7O8
636,Hf7O9
637,Hf7O10
638,Hf8O9
639,Hf9O10
640,TaO
641,TaO2
642,TaO3
643,TaO4
644,TaO5
645,TaO6
646,TaO7
647,TaO8
648,TaO9
649,TaO10
650,Ta2O3
651,Ta2O5
652,Ta2O7
653,Ta2O9
654,Ta3O4
655,Ta3O5
656,Ta3O7
657,Ta3O8
658,Ta3O10
659,Ta4O5
660,Ta4O7
661,Ta4O9
662,Ta5O6
663,Ta5O7
664,Ta5O8
665,Ta5O9
666,Ta6O7
667,Ta7O8
668,Ta7O9
669,Ta7O10
670,Ta8O9
671,Ta9O10
672,WO
673,WO2
674,WO3
675,WO4
676,WO5
677,WO6
678,WO7
679,WO8
680,WO9
681,WO10
682,W2O3
683,W2O5
684,W2O7
685,W2O9
686,W3O4
687,W3O5
688,W3O7
689,W3O8
690,W3O10
691,W4O5
692,W4O7
693,W4O9
694,W5O6
695,W5O7
696,W5O8
697,W5O9
698,W6O7
699,W7O8
700,W7O9
701,W7O10
702,W8O9
703,W9O10
704,ReO
705,ReO2
706,ReO3
707,ReO4
708,ReO5
709,ReO6
710,ReO7
711,ReO8
712,ReO9
713,ReO10
714,Re2O3
715,Re2O5
716,Re2O7
717,Re2O9
718,Re3O4
719,Re3O5
720,Re3O7
721,Re3O8
722,Re3O10
723,Re4O5
724,Re4O7
725,Re4O9
726,Re5O6
727,Re5O7
728,Re5O8
729,Re5O9
730,Re6O7
731,Re7O8
732,Re7O9
733,Re7O10
734,Re8O9
735,Re9O10
736,OsO
737,OsO2
738,OsO3
739,OsO4
740,OsO5
741,OsO6
742,OsO7
743,OsO8
744,OsO9
745,OsO10
746,Os2O3
747,Os2O5
748,Os2O7
749,Os2O9
750,Os3O4
751,Os3O5
752,Os3O7
753,Os3O8
754,Os3O10
755,Os4O5
756,Os4O7
757,Os4O9
758,Os5O6
759,Os5O7
760,Os5O8
761,Os5O9
762,Os6O7
763,Os7O8
764,Os7O9
765,Os7O10
766,Os8O9
767,Os9O10
768,IrO
769,IrO2
770,IrO3
771,IrO4
772,IrO5
773,IrO6
774,IrO7
775,IrO8
776,IrO9
777,IrO10
778,Ir2O3
779,Ir2O5
780,Ir2O7
781,Ir2O9
782,Ir3O4
783,Ir3O5
784,Ir3O7
785,Ir3O8
786,Ir3O10
787,Ir4O5
788,Ir4O7
789,Ir4O9
790,Ir5O6
791,Ir5O7
792,Ir5O8
793,Ir5O9
794,Ir6O7
795,Ir7O8
796,Ir7O9
797,Ir7O10
798,Ir8O9
799,Ir9O10
800,PtO
801,PtO2
802,PtO3
803,PtO4
804,PtO5
805,PtO6
806,PtO7
807,PtO8
808,PtO9
809,PtO10
810,Pt2O3
811,Pt2O5
812,Pt2O7
813,Pt2O9
814,Pt3O4
815,Pt3O5
816,Pt3O7
817,Pt3O8
818,Pt3O10
819,Pt4O5
820,Pt4O7
821,Pt4O9
822,Pt5O6
823,Pt5O7
824,Pt5O8
825,Pt5O9
826,Pt6O7
827,Pt7O8
828,Pt7O9
829,Pt7O10
830,Pt8O9
831,Pt9O10
832,AuO
833,AuO2
834,AuO3
835,AuO4
836,AuO5
837,AuO6
838,AuO7
839,AuO8
840,AuO9
841,AuO10
842,Au2O3
843,Au2O5
844,Au2O7
845,Au2O9
846,Au3O4
847,Au3O5
848,Au3O7
849,Au3O8
850,Au3O10
851,Au4O5
852,Au4O7
853,Au4O9
854,Au5O6
855,Au5O7
856,Au5O8
857,Au5O9
858,Au6O7
859,Au7O8
860,Au7O9
861,Au7O10
862,Au8O9
863,Au9O10
864,LaO
865,LaO2
866,LaO3
867,LaO4
868,LaO5
869,LaO6
870,LaO7
871,LaO8
872,LaO9
873,LaO10
874,La2O3
875,La2O5
876,La2O7
877,La2O9
878,La3O4
879,La3O5
880,La3O7
881,La3O8
882,La3O10
883,La4O5
884,La4O7
885,La4O9
886,La5O6
887,La5O7
888,La5O8
889,La5O9
890,La6O7
891,La7O8
892,La7O9
893,La7O10
894,La8O9
895,La9O10
896,CeO
897,CeO2
898,CeO3
899,CeO4
900,CeO5
901,CeO6
902,CeO7
903,CeO8
904,CeO9
905,CeO10
906,Ce2O3
907,Ce2O5
908,Ce2O7
909,Ce2O9
910,Ce3O4
911,Ce3O5
912,Ce3O7
913,Ce3O8
914,Ce3O10
915,Ce4O5
916,Ce4O7
917,Ce4O9
918,Ce5O6
919,Ce5O7
920,Ce5O8
921,Ce5O9
922,Ce6O7
923,Ce7O8
924,Ce7O9
925,Ce7O10
926,Ce8O9
927,Ce9O10
928,ScN
929,TiN
930,VN
931,CrN
932,MnN
933,FeN
934,CoN
935,NiN
936,CuN
937,ZnN
938,YN
939,ZrN
940,NbN
941,MoN
942,RuN
943,RhN
944,PdN
945,AgN
946,CdN
947,HfN
948,TaN
949,WN
950,ReN
951,OsN
952,IrN
953,PtN
954,AuN
955,LaN
956,CeN
957,Sc2N
958,Ti2N
959,V2N
960,Cr2N
961,Mn2N
962,Fe2N
963,Co2N
964,Ni2N
965,Cu2N
966,Zn2N
967,Y2N
968,Zr2N
969,Nb2N
970,Mo2N
971,Ru2N
972,Rh2N
973,Pd2N
974,Ag2N
975,Cd2N
976,Hf2N
977,Ta2N
978,W2N
979,Re2N
980,Os2N
981,Ir2N
982,Pt2N
983,Au2N
984,La2N
985,Ce2N
986,Sc3N2
987,Ti3N2
988,V3N2
989,Cr3N2
990,Mn3N2
991,Fe3N2
992,Co3N2
993,Ni3N2
994,Cu3N2
995,Zn3N2
996,Y3N2
997,Zr3N2
998,Nb3N2
999,Mo3N2
1000,Ru3N2
1001,Rh3N2
1002,Pd3N2
1003,Ag3N2
1004,Cd3N2
1005,Hf3N2
1006,Ta3N2
1007,W3N2
1008,Re3N2
1009,Os3N2
1010,Ir3N2
1011,Pt3N2
1012,Au3N2
1013,La3N2
1014,Ce3N2
1015,ScS2
1016,TiS2
1017,VS2
1018,CrS2
1019,MnS2
1020,FeS2
1021,CoS2
1022,NiS2
1023,CuS2
1024,ZnS2
1025,YS2
1026,ZrS2
1027,NbS2
1028,MoS2
1029,RuS2
1030,RhS2
1031,PdS2
1032,AgS2
1033,CdS2
1034,HfS2
1035,TaS2
1036,WS2
1037,ReS2
1038,OsS2
1039,IrS2
1040,PtS2
1041,AuS2
1042,LaS2
1043,CeS2
1044,Cr0.1Sc0.9O
1045,Cr0.2Sc0.8O
1046,Cr0.5Sc0.5O
1047,Cr0.1Sc0.9O2
1048,Cr0.2Sc0.8O2
1049,Cr0.5Sc0.5O2
1050,Cr0.1Sc0.9O3
1051,Cr0.2Sc0.8O3
1052,Cr0.5Sc0.5O3
1053,Cr0.1Sc0.9O4
1054,Cr0.2Sc0.8O4
1055,Cr0.5Sc0.5O4
1056,Cr0.1Sc0.9O5
1057,Cr0.2Sc0.8O5
1058,Cr0.5Sc0.5O5
1059,Cr0.1Sc0.9O6
1060,Cr0.2Sc0.8O6
1061,Cr0.5Sc0.5O6
1062,Cr0.1Sc0.9O7
1063,Cr0.2Sc0.8O7
1064,Cr0.5Sc0.5O7
1065,Cr0.1Sc0.9O8
1066,Cr0.2Sc0.8O8
1067,Cr0.5Sc0.5O8
1068,Cr0.1Sc0.9O9
1069,Cr0.2Sc0.8O9
1070,Cr0.5Sc0.5O9
1071,Cr0.1Sc0.9O10
1072,Cr0.2Sc0.8O10
1073,Cr0.5Sc0.5O10
1074,Cr0.2Sc1.8O3
1075,Cr0.4Sc1.6O3
1076,CrScO3
1077,Cr0.2Sc1.8O5
1078,Cr0.4Sc1.6O5
1079,CrScO5
1080,Cr0.2Sc1.8O7
1081,Cr0.4Sc1.6O7
1082,CrScO7
1083,Cr0.2Sc1.8O9
1084,Cr0.4Sc1.6O9
1085,CrScO9
1086,Cr0.3Sc2.7O4
1087,Cr0.6Sc2.4O4
1088,Cr1.5Sc1.5O4
1089,Cr0.3Sc2.7O5
1090,Cr0.6Sc2.4O5
1091,Cr1.5Sc1.5O5
1092,Cr0.3Sc2.7O7
1093,Cr0.6Sc2.4O7
1094,Cr1.5Sc1.5O7
1095,Cr0.3Sc2.7O8
1096,Cr0.6Sc2.4O8
1097,Cr1.5Sc1.5O8
1098,Cr0.3Sc2.7O10
1099,Cr0.6Sc2.4O10
1100,Cr1.5Sc1.5O10
1101,Cr0.4Sc3.6O5
1102,Cr0.8Sc3.2O5
1103,Cr2.0Sc2.0O5
1104,Cr0.4Sc3.6O7
1105,Cr0.8Sc3.2O7
1106,Cr2.0Sc2.0O7
1107,Cr0.4Sc3.6O9
1108,Cr0.8Sc3.2O9
1109,Cr2.0Sc2.0O9
1110,Cr0.5Sc4.5O6
1111,CrSc4.0O6
1112,Cr2.5Sc2.5O6
1113,Cr0.5Sc4.5O7
1114,CrSc4.0O7
1115,Cr2.5Sc2.5O7
1116,Cr0.5Sc4.5O8
1117,CrSc4.0O8
1118,Cr2.5Sc2.5O8
1119,Cr0.5Sc4.5O9
1120,CrSc4.0O9
1121,Cr2.5Sc2.5O9
1122,Cr0.6Sc5.4O7
1123,Cr1.2Sc4.8O7
1124,Cr3.0Sc3.0O7
1125,Cr0.7Sc6.3O8
1126,Cr1.4Sc5.6O8
1127,Cr3.5Sc3.5O8
1128,Cr0.7Sc6.3O9
1129,Cr1.4Sc5.6O9
1130,Cr3.5Sc3.5O9
1131,Cr0.7Sc6.3O10
1132,Cr1.4Sc5.6O10
1133,Cr3.5Sc3.5O10
1134,Cr0.8Sc7.2O9
1135,Cr1.6Sc6.4O9
1136,Cr4.0Sc4.0O9
1137,Cr0.9Sc8.1O10
1138,Cr1.8Sc7.2O10
1139,Cr4.5Sc4.5O10
1140,Mn0.1Sc0.9O
1141,Mn0.2Sc0.8O
1142,Mn0.5Sc0.5O
1143,Mn0.1Sc0.9O2
1144,Mn0.2Sc0.8O2
1145,Mn0.5Sc0.5O2
1146,Mn0.1Sc0.9O3
1147,Mn0.2Sc0.8O3
1148,Mn0.5Sc0.5O3
1149,Mn0.1Sc0.9O4
1150,Mn0.2Sc0.8O4
1151,Mn0.5Sc0.5O4
1152,Mn0.1Sc0.9O5
1153,Mn0.2Sc0.8O5
1154,Mn0.5Sc0.5O5
1155,Mn0.1Sc0.9O6
1156,Mn0.2Sc0.8O6
1157,Mn0.5Sc0.5O6
1158,Mn0.1Sc0.9O7
1159,Mn0.2Sc0.8O7
1160,Mn0.5Sc0.5O7
1161,Mn0.1Sc0.9O8
1162,Mn0.2Sc0.8O8
1163,Mn0.5Sc0.5O8
1164,Mn0.1Sc0.9O9
1165,Mn0.2Sc0.8O9
1166,Mn0.5Sc0.5O9
1167,Mn0.1Sc0.9O10
1168,Mn0.2Sc0.8O10
1169,Mn0.5Sc0.5O10
1170,Mn0.2Sc1.8O3
1171,Mn0.4Sc1.6O3
1172,MnScO3
1173,Mn0.2Sc1.8O5
1174,Mn0.4Sc1.6O5
1175,MnScO5
1176,Mn0.2Sc1.8O7
1177,Mn0.4Sc1.6O7
1178,MnScO7
1179,Mn0.2Sc1.8O9
1180,Mn0.4Sc1.6O9
1181,MnScO9
1182,Mn0.3Sc2.7O4
1183,Mn0.6Sc2.4O4
1184,Mn1.5Sc1.5O4
1185,Mn0.3Sc2.7O5
1186,Mn0.6Sc2.4O5
1187,Mn1.5Sc1.5O5
1188,Mn0.3Sc2.7O7
1189,Mn0.6Sc2.4O7
1190,Mn1.5Sc1.5O7
1191,Mn0.3Sc2.7O8
1192,Mn0.6Sc2.4O8
1193,Mn1.5Sc1.5O8
1194,Mn0.3Sc2.7O10
1195,Mn0.6Sc2.4O10
1196,Mn1.5Sc1.5O10
1197,Mn0.4Sc3.6O5
1198,Mn0.8Sc3.2O5
1199,Mn2.0Sc2.0O5
1200,Mn0.4Sc3.6O7
1201,Mn0.8Sc3.2O7
1202,Mn2.0Sc2.0O7
1203,Mn0.4Sc3.6O9
1204,Mn0.8Sc3.2O9
1205,Mn2.0Sc2.0O9
1206,Mn0.5Sc4.5O6
1207,MnSc4.0O6
1208,Mn2.5Sc2.5O6
1209,Mn0.5Sc4.5O7
1210,MnSc4.0O7
1211,Mn2.5Sc2.5O7
1212,Mn0.5Sc4.5O8
1213,MnSc4.0O8
1214,Mn2.5Sc2.5O8
1215,Mn0.5Sc4.5O9
1216,MnSc4.0O9
1217,Mn2.5Sc2.5O9
1218,Mn0.6Sc5.4O7
1219,Mn1.2Sc4.8O7
1220,Mn3.0Sc3.0O7
1221,Mn0.7Sc6.3O8
1222,Mn1.4Sc5.6O8
1223,Mn3.5Sc3.5O8
1224,Mn0.7Sc6.3O9
1225,Mn1.4Sc5.6O9
1226,Mn3.5Sc3.5O9
1227,Mn0.7Sc6.3O10
1228,Mn1.4Sc5.6O10
1229,Mn3.5Sc3.5O10
1230,Mn0.8Sc7.2O9
1231,Mn1.6Sc6.4O9
1232,Mn4.0Sc4.0O9
1233,Mn0.9Sc8.1O10
1234,Mn1.8Sc7.2O10
1235,Mn4.5Sc4.5O10
1236,Fe0.1Sc0.9O
1237,Fe0.2Sc0.8O
1238,Fe0.5Sc0.5O
1239,Fe0.1Sc0.9O2
1240,Fe0.2Sc0.8O2
1241,Fe0.5Sc0.5O2
1242,Fe0.1Sc0.9O3
1243,Fe0.2Sc0.8O3
1244,Fe0.5Sc0.5O3
1245,Fe0.1Sc0.9O4
1246,Fe0.2Sc0.8O4
1247,Fe0.5Sc0.5O4
1248,Fe0.1Sc0.9O5
1249,Fe0.2Sc0.8O5
1250,Fe0.5Sc0.5O5
1251,Fe0.1Sc0.9O6
1252,Fe0.2Sc0.8O6
1253,Fe0.5Sc0.5O6
1254,Fe0.1Sc0.9O7
1255,Fe0.2Sc0.8O7
1256,Fe0.5Sc0.5O7
1257,Fe0.1Sc0.9O8
1258,Fe0.2Sc0.8O8
1259,Fe0.5Sc0.5O8
1260,Fe0.1Sc0.9O9
1261,Fe0.2Sc0.8O9
1262,Fe0.5Sc0.5O9
1263,Fe0.1Sc0.9O10
1264,Fe0.2Sc0.8O10
1265,Fe0.5Sc0.5O10
1266,Fe0.2Sc1.8O3
1267,Fe0.4Sc1.6O3
1268,FeScO3
1269,Fe0.2Sc1.8O5
1270,Fe0.4Sc1.6O5
1271,FeScO5
1272,Fe0.2Sc1.8O7
1273,Fe0.4Sc1.6O7
1274,FeScO7
1275,Fe0.2Sc1.8O9
1276,Fe0.4Sc1.6O9
1277,FeScO9
1278,Fe0.3Sc2.7O4
1279,Fe0.6Sc2.4O4
1280,Fe1.5Sc1.5O4
1281,Fe0.3Sc2.7O5
1282,Fe0.6Sc2.4O5
1283,Fe1.5Sc1.5O5
1284,Fe0.3Sc2.7O7
1285,Fe0.6Sc2.4O7
1286,Fe1.5Sc1.5O7
1287,Fe0.3Sc2.7O8
1288,Fe0.6Sc2.4O8
1289,Fe1.5Sc1.5O8
1290,Fe0.3Sc2.7O10
1291,Fe0.6Sc2.4O10
1292,Fe1.5Sc1.5O10
1293,Fe0.4Sc3.6O5
1294,Fe0.8Sc3.2O5
1295,Fe2.0Sc2.0O5
1296,Fe0.4Sc3.6O7
1297,Fe0.8Sc3.2O7
1298,Fe2.0Sc2.0O7
1299,Fe0.4Sc3.6O9
1300,Fe0.8Sc3.2O9
1301,Fe2.0Sc2.0O9
1302,Fe0.5Sc4.5O6
1303,FeSc4.0O6
1304,Fe2.5Sc2.5O6
1305,Fe0.5Sc4.5O7
1306,FeSc4.0O7
1307,Fe2.5Sc2.5O7
1308,Fe0.5Sc4.5O8
1309,FeSc4.0O8
1310,Fe2.5Sc2.5O8
1311,Fe0.5Sc4.5O9
1312,FeSc4.0O9
1313,Fe2.5Sc2.5O9
1314,Fe0.6Sc5.4O7
1315,Fe1.2Sc4.8O7
1316,Fe3.0Sc3.0O7
1317,Fe0.7Sc6.3O8
1318,Fe1.4Sc5.6O8
1319,Fe3.5Sc3.5O8
1320,Fe0.7Sc6.3O9
1321,Fe1.4Sc5.6O9
1322,Fe3.5Sc3.5O9
1323,Fe0.7Sc6.3O10
1324,Fe1.4Sc5.6O10
1325,Fe3.5Sc3.5O10
1326,Fe0.8Sc7.2O9
1327,Fe1.6Sc6.4O9
1328,Fe4.0Sc4.0O9
1329,Fe0.9Sc8.1O10
1330,Fe1.8Sc7.2O10
1331,Fe4.5Sc4.5O10
1332,Co0.1Sc0.9O
1333,Co0.2Sc0.8O
1334,Co0.5Sc0.5O
1335,Co0.1Sc0.9O2
1336,Co0.2Sc0.8O2
1337,Co0.5Sc0.5O2
1338,Co0.1Sc0.9O3
1339,Co0.2Sc0.8O3
1340,Co0.5Sc0.5O3
1341,Co0.1Sc0.9O4
1342,Co0.2Sc0.8O4
1343,Co0.5Sc0.5O4
1344,Co0.1Sc0.9O5
1345,Co0.2Sc0.8O5
1346,Co0.5Sc0.5O5
1347,Co0.1Sc0.9O6
1348,Co0.2Sc0.8O6
1349,Co0.5Sc0.5O6
1350,Co0.1Sc0.9O7
1351,Co0.2Sc0.8O7
1352,Co0.5Sc0.5O7
1353,Co0.1Sc0.9O8
1354,Co0.2Sc0.8O8
1355,Co0.5Sc0.5O8
1356,Co0.1Sc0.9O9
1357,Co0.2Sc0.8O9
1358,Co0.5Sc0.5O9
1359,Co0.1Sc0.9O10
1360,Co0.2Sc0.8O10
1361,Co0.5Sc0.5O10
1362,Co0.2Sc1.8O3
1363,Co0.4Sc1.6O3
1364,CoScO3
1365,Co0.2Sc1.8O5
1366,Co0.4Sc1.6O5
1367,CoScO5
